SR3
-0.5
-3.01
-3.43
-4.58
-3.15
0
4.66
6.37
8.71
6.12
2.86
1.41
0.35
-1.49
-4.25
-2.93
-3
0.15
6.27
6.87
7.83
5.43
2.07
0.51
-1.87
-2.09
-2.02
-3.06
-2.2
-1.3
2.5
6.72
6.65
5.17
3.28
1.21
-1.59
-2.3
-3.24
-4.2
-4.22
-0.16
2.57
3.91
4.8
2.97
0.59
-1.19
-2.97
-3.42
-4.24
-5.11
-4.58
-1
3.05
6.79
7.43
4.02
0.19
-1.74
-2.69
-3.16
-3.79
-3.88
-5.13
-1.87
3.61
6.6
5.85
3.02
1.25
-1.55
-2.62
-4.89
-5.23
-5.57
-5.84
-4.3
-0.27
3.96
3.1
0.44
-1.56
-2.63
-3.64
-5.83
-7
-6.23
-4.24
-2.47
0.95
2.99
4.61
3.57
0.58
-1.29
0
-4.51
-5.05
-5.32
-5.41
0
3.33
4.91
4.93
2.83
1.02
-1.66
-2.66
-5.04
-5.27
-5.01
0
-4.24
1.04
4.88
5.27
0
0.11
-3.07
-3.04
-4.9
0
-6.43
-4.93
-2.81
2.37
0
0
2.82
0.64
-1.31
-2.86
0
-5.19
-6.66
-5.97
-4.59
0
3.02
2.98
2.68
-0.92
0
-4.67
-6.12
-7.58
-7.51
-7.49
0.14
0
1.79
3.26
0
0
-4.54
-4.67
0
-6.1
0
-7.4
-6.33
-3.41
0.78
0
0
2.37
-1.22
-2.48
0
-4.44
-6.82
-7.3
-6.02
-4.48
0
0
0
0
0
