SR2
-0.31
1.89
3.38
3.11
3.41
0
0.76
0.51
-0.38
-1.97
-0.83
1.35
3.54
5
3.78
4.62
2.97
1.37
1.8
-0.21
-1.12
-2.4
-0.46
1.56
2.49
5.52
6.87
5.78
6.31
4.29
2.23
0.87
0.59
0.44
0.8
1.46
2.14
4.03
6.15
5.19
2.75
1.49
-0.34
-0.54
-0.97
-2.34
-0.4
0.89
1.46
2.85
3.59
3.62
2.19
1.13
-0.22
-0.93
-2.97
-4.54
-3.98
-1.52
-0.39
0.02
0.42
0.08
-1.38
-3.54
-3.53
-4.07
-5.97
-6.55
-5.96
-3.99
-2.6
-2.62
-0.89
-0.18
-1.23
-3.12
-3.83
-5.44
-5.73
-6.9
-5.83
-3.59
-0.7
0.44
1.18
0.7
0.11
-2.68
-2.86
-3.77
-5.26
-4.96
-4.65
-3.65
0
-0.71
-0.74
-0.73
-1.57
0
-4.24
-5
-5.34
-6.55
-6.35
-3.87
-3.27
-2.47
-0.87
-1.54
0
-5.24
-6.39
-7.27
-7.03
0
-7
-6.55
-4.06
-2.55
0
-1.51
-2.61
-3.9
-5.1
0
0
-6.75
-6.66
-6.7
-4.27
0
-1.6
-3.24
-4.06
-6.23
0
-8.47
-9.56
-8.91
-8
0
-5.83
-5.39
-4.45
-4.42
-4.52
-7.13
0
-7.86
-10.59
0
0
-8.12
-5.83
0
-4.71
0
-5.9
-5.19
-6.25
-6.6
0
0
-8.23
-9
-8
0
-6.42
-4.08
-5.17
-5.5
-5.96
0
0
0
0
0
